x	ch0	ch1	ch2	ch3
1118	425	24907	422	24911
1119	425	24906	422	24910
1120	424	24906	422	24910
1121	425	24906	422	24911
1122	425	24906	422	24911
1123	424	24907	422	24911
1124	424	24906	422	24911
1125	425	24907	422	24911
1126	425	24906	422	24911
1127	425	24906	422	24910
1128	424	24905	422	24911
1129	425	24906	421	24911
1130	425	24907	422	24911
1131	425	24907	422	24911
1132	425	24906	422	24911
1133	425	24906	422	24911
1134	424	24906	422	24911
1135	424	24906	422	24910
1136	424	24906	421	24910
1137	424	24906	422	24911
1138	425	24906	422	24910
1139	425	24906	422	24910
1140	425	24906	422	24911
1141	424	24906	421	24911
1142	424	24905	421	24911
1143	425	24906	421	24911
1144	424	24906	422	24910
